label,message
ham,Yup... From what i remb... I think should be can book...
ham,Indeed and by the way it was either or - not both !
ham,Thanx a lot...
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
ham,I've reached sch already...
ham,"Sorry, I'll call later"
ham,happened here while you were adventuring
ham,Thts wat Wright Brother did to fly..
ham,How will I creep on you now? ;_;
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already ‰Û_
ham,No. It's not pride. I'm almost years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham,"Yeah, give me a call if you've got a minute"
ham,I love to cuddle! I want to hold you in my strong arms right now...
ham,So do you have samus shoulders yet
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,I am not at all happy with what you saying or doing
ham,Howz pain?hope u r fine..
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
spam,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,"The g that i saw a few days ago, the guy wants sell wifi only for and with 3g for . That's why i blanked him."
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
ham,Do have a nice day today. I love you so dearly.
ham,Change windows logoff sound..
ham,"K I'm leaving soon, be there a little after 9"
ham,Man this bus is so so so slow. I think you're gonna get there before me
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,No it will reach by 9 only. She telling she will be there. I dont know
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
ham,Eh den sat u book e kb liao huh...
ham,K da:)how many page you want?
ham,Dunno he jus say go lido. Same time 930.
ham,Please don't text me anymore. I have nothing else to say.
ham,At what time are you coming.
ham,Ok i go change also...
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,Will it help if we propose going back again tomorrow
ham,Hai dear friends... This is my new & present number..:) By Rajitha Raj (Ranju)
ham,K. I will sent it again
ham,I am literally in bed and have been up for like hours
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,LOL ... Have you made plans for new years?
spam,74355 XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,Thats cool. How was your day?
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
ham,"Gumby's has a special where a \ cheese pizza is $2 so I know what we're doin tonight"""
ham,Hey tmr meet at bugis 930 ?
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,Actually getting ready to leave the house.
ham,"I am in tirupur da, once you started from office call me."
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
ham,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you
ham,Two teams waiting for some players
ham,ÌÏ give me some time to walk there.
ham,Were somewhere on Fredericksburg
ham,Just wanted to say holy shit you guys weren't kidding about this bud
ham,Correct. So how was work today
ham,Juz go google n search 4 qet...
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
ham,I need to come home and give you some good lovin...
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ..."
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,"K, wait chikku..il send aftr mins"
ham,Haha... Hope Ì_ can hear the receipt sound... Gd luck!
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
ham,"Its good, we'll find a way"
ham,"This is one of the days you have a billion classes, right?"
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be k. Pls holla back
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH
ham,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!"
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
ham,"Very strange. and are watching the 2nd one now but i'm in bed. Sweet dreams, miss u"
ham,I will vote for wherever my heart guides me
spam,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
ham,Yar lor... How u noe? U used dat route too?
ham,Yup no more already... Thanx 4 printing n handing it up.
ham,I am in hospital da. . I will return home in evening
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
ham,You getting back any time soon?
ham,Erutupalam thandiyachu
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
ham,Do you think i can move in a week
ham,I have to take exam with march 3
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,Will Ì_ b going to esplanade fr home?
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
ham,ÌÏ called dad oredi...
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,"Awesome, be there in a minute"
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
spam,Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,"I can. But it will tell quite long, cos i haven't finish my film yet..."
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,S s..first time..dhoni rocks...
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
ham,Uncle Abbey! Happy New Year. Abiola
ham,Yep get with the program. You're slacking.
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,This weekend is fine (an excuse not to do too much decorating)
ham,Hows the champ just leaving glasgow!
ham,"Yeah, probably earlier than that"
ham,"Dear, will call Tmorrow.pls accomodate."
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,We r outside already.
ham,Jay's getting really impatient and belligerent
ham,Hey i've booked the 2 lessons on sun liao...
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,\Hey sorry I didntgive ya a a bellearlier hunny
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,How come u got nothing to do?
ham,I'll text now! All creepy like so he won't think that we forgot
ham,I tot u reach liao. He said t-shirt.
ham,Lmao you know me so well...
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
ham,I will come to ur home now
ham,Going to join tomorrow.
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
ham,Chk in ur belovd ms dict
ham,Customer place i will call you.
ham,Mmmm.... I cant wait to lick it!
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
ham,Hasn't that been the pattern recently crap weekends?
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,"Probably, want to pick up more?"
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are and up
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Yes.mum lookin strong:)
ham,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon
ham,I got your back! Do you have any dislikes in bed?
ham,Have a good evening! Ttyl
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs!"
ham,"Turns out my friends are staying for the whole show and won't be back til ~ , so feel free to go ahead and smoke that $ worth"
ham,Hope you are having a great day.
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
spam,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,I am taking half day leave bec i am not well
ham,I love u 2 my little pocy bell I am sorry but I love u
ham,One small prestige problem now.
ham,"fyi I'm at usf now, swing by the room whenever"
ham,Webpage s not available!
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham,Ya srsly better than yi tho
ham,So what do you guys do.
ham,Did he just say somebody is named tampa
ham,I want rs da:)do you have it?
ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
ham,My battery is low babe
ham,Then ur physics get a-?
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai & have to reach before 4'o clock so call me plz
ham,I will reach before ten morning
ham,Hey what's up charles sorry about the late reply.
ham,Hahaha..use your brain dear
ham,if you aren't here in the next hours imma flip my shit
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,Annoying isn't it.
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,Is ur paper today in e morn or aft?
ham,We live in the next mins
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham,1's reach home call me.
ham,Ok i vl..do u know i got adsense approved..
ham,Even if he my friend he is a priest call him now
ham,Jesus armand really is trying to tell everybody he can find
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
ham,Happy new year. Hope you are having a good semester
ham,"Hmph. Go head, big baller."
ham,"Call me da, i am waiting for your call."
ham,Tell them the drug dealer's getting impatient
ham,Yeah so basically any time next week you can get away from your mom & get up before 3
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop"
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,"Lol, oh you got a friend for the dog ?"
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg Kanagu
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
ham,Its sarcasm.. .nt scarcasim
ham,Tired. I haven't slept well the past few nights.
ham,Call me when u finish then i come n pick u.
ham,Oic... Then better quickly go bathe n settle down...
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,My sister cleared two round in birla soft yesterday.
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,There is a first time for everything :)
ham,"Cool, want me to go to kappa or should I meet you outside mu"
ham,"Dear, take care. I am just reaching home.love u a lot."
ham,Bring tat cd don forget
ham,Shall i come to get pickle
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,"Cool, text me when you head out"
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
ham,Merry christmas to u too annie!
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Good Morning my Dear........... Have a great & successful day.
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
ham,Dude we should go sup again
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
ham,Thanks for picking up the trash.
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,Wife.how she knew the time of murder exactly
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,Y Ì_ wan to go there? C doctor?
ham,Teach me apps da. When you come to college.
ham,Total video converter free download type this in google search:)
ham,Ok. How many should i buy.
ham,First answer my question.
ham,But you dint in touch with me.
ham,Thanks for looking out for me. I really appreciate.
ham,Good morning princess! How are you?
ham,"I'm in a meeting, call me later at"
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,Wot u up 2 u weirdo?
ham,Lol I would but despite these cramps I like being a girl.
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI
ham,Have you not finished work yet or something?
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams & Life is empty without frnds.. So Alwys Be In Touch. Good night & sweet dreams
ham,Yo come over carlos will be here soon
ham,I've reached already.
ham,"That's good, because I need drugs"
ham,Fine i miss you very much.
ham,"It'll be tough, but I'll do what I have to"
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,"St andre, virgil's cream"
ham,Why you keeping me away like this
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the thing will be resolved, tho. Anyway. Have a fab hols"
ham,Ill call you evening ill some ideas.
ham,No no:)this is kallis home ground.amla home town is durban:)
ham,"Didn't try, g and I decided not to head out"
ham,I send the print outs da.
ham,Idea will soon get converted to live:)
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,What happened in interview?
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,You still around? I could use a half-8th
ham,Jus ans me lar. U'll noe later.
ham,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...
ham,I love to wine and dine my lady!
ham,Oh god..taken the teeth?is it paining
ham,Was the actual exam harder than NBME
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Nice.nice.how is it working?
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,\CHA QUITEAMUZING THATåÕSCOOL BABE
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
ham,What type of stuff do you sing?
ham,K I'll call you when I'm close
ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
ham,Thats cool. I want to please you...
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,So Ì_'ll be submitting da project tmr rite?
ham,Blank is Blank. But wat is blank? Lol
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
ham,In da car park
ham,Dai what this da.. Can i send my resume to this id.
ham,Yes..gauti and sehwag out of odi series.
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
ham,Please tell me not all of my car keys are in your purse
